drug_name,targets,n_targets,total_proximity_score,n_pathways_significant,mean_proximity_score,score_R-HSA-112316,score_GO:0007399,score_GO:0007268,score_hsa04728,score_GO:0007409,score_GO:0021987,score_GO:0030182,score_GO:0001764,score_GO:0050804,score_GO:0048699,score_hsa04330,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant
NOREPINEPHRINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
PHENTOLAMINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
PRAZOSIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
RAUWOLFIA SERPENTINA,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
RAUWOLSCINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
TAMSULOSIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
TERAZOSIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
YOHIMBINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
YOHIMBINE HYDROCHLORIDE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
5-OH-DPAT,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
ABAPERIDONE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
CLEBOPRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
DIFLUOROBENZTROPINE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
IOXIPRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
LEVOSULPIRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
NAFADOTRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
RIMCAZOLE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
LISURIDE,DRD1;DRD2;DRD3,3,0.627,0,0.057,0.0,0.0,0.1323,0.2984,0.1834,0.0,0.0,0.0,0.0,0.0129,0.0,,,,
SPIPERONE,DRD1;DRD2;DRD3,3,0.627,0,0.057,0.0,0.0,0.1323,0.2984,0.1834,0.0,0.0,0.0,0.0,0.0129,0.0,,,,
8-OH-DPAT,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
BROMOCRIPTINE,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
PERGOLIDE,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
PRECLAMOL,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
ROPINIROLE,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
APROFENE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
ARECOLINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
ATROPINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
CARBACHOL,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
HIMBACINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
METHSCOPOLAMINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
MUSCARINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
OXOTREMORINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
PIRENZEPINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
SABCOMELINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
TRIHEXYPHENIDYL HYDROCHLORIDE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
XANOMELINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
(+)-EHNA,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
DIPYRIDAMOLE,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
MARDEPODECT,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
PAPAVERINE,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
ROLIPRAM,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
SCH-351591,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
TADALAFIL,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
VARDENAFIL,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
MIANSERIN,ADRA2A;HTR2C,2,0.521,0,0.0474,0.0,0.0,0.0,0.361,0.0,0.1599,0.0,0.0,0.0,0.0,0.0,,,,
ARIPIPRAZOLE,DRD2;DRD3;HTR2A;HTR2C,4,0.4985,0,0.0453,0.0,0.0,0.0567,0.2245,0.1196,0.046,0.0518,0.0,0.0,0.0,0.0,,,,
A-1155463,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
A-1596584,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
A-1596586,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
ABECARNIL,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
ALISERTIB,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
ALOGABAT,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
ALPRAZOLAM,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
AZD6280,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
AZD7325,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
BASMISANIL,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
BAY-207,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
BAY-826,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
BAY-974,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
BETA-CCM,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
BTZO-1,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
CGS-8216,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
CGS-9896,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
DIAZEPAM,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
ESZOPICLONE,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
FLUMAZENIL,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
FLUNITRAZEPAM,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
MLN-8054,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
MRL-SYKi-NC,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
PENTOBARBITAL,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
Ro-154513,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
TP-030-1,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
TP-030-2,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
TRIAZOLAM,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
ZOLPIDEM,GABRA1,1,0.4382,0,0.0398,0.0131,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.1125,0.0,0.1601,,,,
LOXAPINE,DRD3;DRD4,2,0.4275,0,0.0389,0.0,0.0,0.0092,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
ISOCLOZAPINE,CHRM1;DRD3;DRD4,3,0.4186,0,0.0381,0.0,0.0,0.0,0.2984,0.0465,0.0,0.0,0.0607,0.0,0.0129,0.0,,,,
CI-1007,DRD2;DRD3;DRD4,3,0.3532,0,0.0321,0.0,0.0,0.0548,0.2984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ROXINDOLE,DRD2;DRD3;DRD4,3,0.3532,0,0.0321,0.0,0.0,0.0548,0.2984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SERTINDOLE,DRD1;DRD3;HTR2A;HTR2C,4,0.3222,0,0.0293,0.0,0.0,0.0,0.2245,0.0,0.046,0.0518,0.0,0.0,0.0,0.0,,,,
ANANDAMIDE,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
CANNABINOL,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
CP-55940,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
DRONABINOL,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
INDOMETHACIN,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
INDOMETHACIN MORPHOLINYLAMIDE,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
NABILONE,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
RAC-IBIPINABANT,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
RIMONABANT,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
SURINABANT,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
WIN-552122,CNR1;CNR2,2,0.2698,0,0.0245,0.0,0.0,0.0,0.1987,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
ACETOPROXIFAN,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
APLYSAMINE,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
BURIMAMIDE,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
CIPROXIFAN,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
CLOBENPROPIT,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
HISTAMINE,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
IMETIT,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
IMPROMIDINE,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
IODOPROXYFAN,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
JNJ-5207852,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
PROXYFAN,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
THIOPERAMIDE,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
VUF-5296,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
VUF-5297,HRH3,1,0.264,0,0.024,0.0,0.0,0.1092,0.026,0.0584,0.0703,0.0,0.0,0.0,0.0,0.0,,,,
QUETIAPINE,CHRM1;DRD1;DRD3;HTR2A,4,0.2345,0,0.0213,0.0,0.0,0.0,0.2245,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,,
L-745870,CHRM4;DRD3;DRD4;HTR2A;HTR2C,5,0.1897,0,0.0172,0.0,0.0,0.0,0.1782,0.0,0.0109,0.0006,0.0,0.0,0.0,0.0,,,,
ZOTEPINE,CHRM4;DRD1;DRD3;HTR2A;HTR2C,5,0.1897,0,0.0172,0.0,0.0,0.0,0.1782,0.0,0.0109,0.0006,0.0,0.0,0.0,0.0,,,,
HALOPERIDOL,DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,6,0.1573,0,0.0143,0.0,0.0,0.0,0.1391,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,,,,
RISPERIDONE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,6,0.1391,0,0.0126,0.0,0.0,0.0,0.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ZIPRASIDONE,CHRM1;DRD1;DRD3;DRD4;HTR2A;HTR2C,6,0.1391,0,0.0126,0.0,0.0,0.0,0.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
OLANZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,8,0.0873,0,0.0079,0.0,0.0,0.0,0.0873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4-DAMP,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
ACETYLCHOLINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
AMOXAPINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
ASTEMIZOLE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
BENZETHONIUM CHLORIDE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
BENZTROPINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
CREMASTRINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
DARIFENACIN,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
METHOCTRAMINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
N-DESMETHYLCLOZAPINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
NANTENINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
NOCARDIMICIN B,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
PIPERTRAMINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
PIPERTRAMINE AMIDE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
TOLTERODINE,CHRM4,1,0.072,0,0.0065,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,,,,
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,9,0.0551,0,0.005,0.0,0.0,0.0,0.0551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
OLEOYLETHANOLAMIDE,CNR2,1,0.026,0,0.0024,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SR-144528,CNR2,1,0.026,0,0.0024,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
